CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
2,2,13997520000000,39000,0.160462,6.23202,2.48756,1.29283e+08,3.216e+08,1000000000,0.402,402,0.8
2,0,13997521000000,43000,0.150791,6.63171,17.6991,1.2769e+07,2.26e+08,4000000000,0.0565,56.5,1
2,2,13997522000000,44000,0.149955,6.66869,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
2,1,13997523000000,46000,0.157913,6.3326,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
2,0,13997524000000,50000,0.14832,6.74218,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
2,2,13997525000000,51000,0.150451,6.64668,3.89105,5.28392e+07,2.056e+08,1000000000,0.257,257,0.8
2,0,13997526000000,55000,0.146109,6.8442,11.0193,3.29422e+07,3.63e+08,4000000000,0.09075,90.75,1
2,2,13997527000000,56000,0.146143,6.84262,6.75676,1.75232e+07,1.184e+08,1000000000,0.148,148,0.8
2,1,13997528000000,58000,0.151517,6.59991,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
2,0,13997529000000,62000,0.144387,6.92583,24.3902,6.724e+06,1.64e+08,4000000000,0.041,41,1
2,2,13997530000000,63000,0.144429,6.92384,6.80272,1.72872e+07,1.176e+08,1000000000,0.147,147,0.8
2,0,13997531000000,67000,0.142806,7.00251,8.52878,5.49902e+07,4.69e+08,4000000000,0.11725,117.25,1
2,2,13997532000000,68000,0.142941,6.99588,6.57895,1.84832e+07,1.216e+08,1000000000,0.152,152,0.8
2,1,13997533000000,70000,0.147543,6.77769,3.28947,1.66349e+08,5.472e+08,2000000000,0.304,304,0.9
2,0,13997534000000,74000,0.14173,7.05568,25,6.4e+06,1.6e+08,4000000000,0.04,40,1
2,2,13997535000000,75000,0.140533,7.11575,19.2308,2.1632e+06,4.16e+07,1000000000,0.052,52,0.8
2,0,13997536000000,79000,0.140456,7.11968,7.19424,7.7284e+07,5.56e+08,4000000000,0.139,139,1
2,2,13997537000000,80000,0.1407,7.10732,6.25,2.048e+07,1.28e+08,1000000000,0.16,160,0.8
2,1,13997538000000,82000,0.144634,6.914,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
2,0,13997539000000,86000,0.139814,7.15236,24.3902,6.724e+06,1.64e+08,4000000000,0.041,41,1
2,2,13997540000000,87000,0.138207,7.23553,0,0,0,1000000000,0,0,0.8
2,0,13997541000000,91000,0.138945,7.19709,6.45161,9.61e+07,6.2e+08,4000000000,0.155,155,1
2,2,13997542000000,92000,0.139043,7.19199,6.75676,1.75232e+07,1.184e+08,1000000000,0.148,148,0.8
2,1,13997543000000,94000,0.142511,7.01702,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
2,0,13997544000000,98000,0.138367,7.22714,24.3902,6.724e+06,1.64e+08,4000000000,0.041,41,1
2,2,13997545000000,99000,0.13697,7.30088,0,0,0,1000000000,0,0,0.8
2,0,13997546000000,103000,0.13767,7.26375,6.45161,9.61e+07,6.2e+08,4000000000,0.155,155,1
2,2,13997547000000,104000,0.137288,7.28393,10.2041,7.6832e+06,7.84e+07,1000000000,0.098,98,0.8
2,1,13997548000000,106000,0.140868,7.09885,3.0581,1.92472e+08,5.886e+08,2000000000,0.327,327,0.9
2,0,13997549000000,110000,0.136427,7.32991,53.3333,1.40625e+06,7.5e+07,4000000000,0.01875,18.75,1
2,2,13997550000000,111000,0.136,7.35294,11.236,6.3368e+06,7.12e+07,1000000000,0.089,89,0.8
2,0,13997551000000,115000,0.136522,7.32484,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
2,2,13997552000000,116000,0.136328,7.33527,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
2,1,13997553000000,118000,0.138619,7.21404,3.68324,1.32682e+08,4.887e+08,2000000000,0.2715,271.5,0.9
2,0,13997554000000,122000,0.135033,7.40561,34.188,3.42225e+06,1.17e+08,4000000000,0.02925,29.25,1
2,2,13997555000000,123000,0.134943,7.41053,8.06452,1.23008e+07,9.92e+07,1000000000,0.124,124,0.8
2,0,13997556000000,127000,0.138709,7.20936,3.92927,2.59081e+08,1.018e+09,4000000000,0.2545,254.5,1
2,1,13997557000000,129000,0.137388,7.27868,18.6916,5.15205e+06,9.63e+07,2000000000,0.0535,53.5,0.9
2,2,13997558000000,130000,0.138454,7.22262,3.62319,6.09408e+07,2.208e+08,1000000000,0.276,276,0.8
2,0,13997559000000,134000,0.136836,7.30803,11.8694,2.83922e+07,3.37e+08,4000000000,0.08425,84.25,1
2,2,13997560000000,135000,0.136696,7.31549,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
2,0,13997561000000,139000,0.137525,7.2714,6.0423,1.09561e+08,6.62e+08,4000000000,0.1655,165.5,1
2,1,13997562000000,141000,0.136468,7.32772,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
2,2,13997563000000,142000,0.138,7.24638,2.82486,1.00253e+08,2.832e+08,1000000000,0.354,354,0.8
2,0,13997564000000,146000,0.136219,7.34111,13.6986,2.1316e+07,2.92e+08,4000000000,0.073,73,1
2,2,13997565000000,147000,0.136327,7.33533,6.57895,1.84832e+07,1.216e+08,1000000000,0.152,152,0.8
2,1,13997566000000,149000,0.13855,7.21759,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
2,0,13997567000000,153000,0.135712,7.36852,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
2,2,13997568000000,154000,0.137643,7.26518,2.30947,1.49991e+08,3.464e+08,1000000000,0.433,433,0.8
2,0,13997569000000,158000,0.13562,7.37353,17.316,1.33402e+07,2.31e+08,4000000000,0.05775,57.75,1
2,2,13997570000000,159000,0.135384,7.38642,10.2041,7.6832e+06,7.84e+07,1000000000,0.098,98,0.8
2,1,13997571000000,161000,0.137739,7.2601,3.07692,1.90125e+08,5.85e+08,2000000000,0.325,325,0.9
2,0,13997572000000,165000,0.135333,7.38916,25.974,5.929e+06,1.54e+08,4000000000,0.0385,38.5,1
2,2,13997573000000,166000,0.13738,7.27911,2.10526,1.805e+08,3.8e+08,1000000000,0.475,475,0.8
2,0,13997574000000,170000,0.134965,7.40934,28.777,4.83025e+06,1.39e+08,4000000000,0.03475,34.75,1
2,2,13997575000000,171000,0.134865,7.41479,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
2,1,13997576000000,173000,0.137064,7.29588,3.07692,1.90125e+08,5.85e+08,2000000000,0.325,325,0.9
2,0,13997577000000,177000,0.13478,7.41952,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
2,2,13997578000000,178000,0.136663,7.31727,2.12766,1.7672e+08,3.76e+08,1000000000,0.47,470,0.8
2,0,13997579000000,182000,0.134549,7.43221,24.6914,6.561e+06,1.62e+08,4000000000,0.0405,40.5,1
2,2,13997580000000,183000,0.134459,7.43721,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
2,1,13997581000000,185000,0.136562,7.32267,3.03951,1.94834e+08,5.922e+08,2000000000,0.329,329,0.9
2,0,13997582000000,189000,0.134413,7.43977,28.5714,4.9e+06,1.4e+08,4000000000,0.035,35,1
2,2,13997583000000,190000,0.136137,7.34555,2.1645,1.70755e+08,3.696e+08,1000000000,0.462,462,0.8
2,0,13997584000000,194000,0.134124,7.4558,25.974,5.929e+06,1.54e+08,4000000000,0.0385,38.5,1
2,2,13997585000000,195000,0.134021,7.46154,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
2,1,13997586000000,197000,0.136041,7.35075,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
2,0,13997587000000,201000,0.13409,7.4577,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
2,2,13997588000000,202000,0.135743,7.36689,2.13675,1.75219e+08,3.744e+08,1000000000,0.468,468,0.8
2,0,13997589000000,206000,0.133767,7.47569,29.4118,4.624e+06,1.36e+08,4000000000,0.034,34,1
2,2,13997590000000,207000,0.133671,7.48103,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
2,1,13997591000000,209000,0.135579,7.37578,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
2,0,13997592000000,213000,0.133746,7.47683,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
2,2,13997593000000,214000,0.135332,7.38925,2.11416,1.78983e+08,3.784e+08,1000000000,0.473,473,0.8
2,0,13997594000000,218000,0.13345,7.49347,30.5344,4.29025e+06,1.31e+08,4000000000,0.03275,32.75,1
2,2,13997595000000,219000,0.133361,7.49846,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
2,1,13997596000000,221000,0.135167,7.39823,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
2,0,13997597000000,225000,0.13344,7.494,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
2,2,13997598000000,226000,0.134942,7.41056,2.11416,1.78983e+08,3.784e+08,1000000000,0.473,473,0.8
2,0,13997599000000,230000,0.133165,7.50947,30.5344,4.29025e+06,1.31e+08,4000000000,0.03275,32.75,1
2,2,13997600000000,231000,0.133082,7.51415,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
2,1,13997601000000,233000,0.134798,7.41849,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
2,0,13997602000000,237000,0.133165,7.50951,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
2,2,13997603000000,238000,0.134597,7.42961,2.1097,1.79741e+08,3.792e+08,1000000000,0.474,474,0.8
2,0,13997604000000,238529,0.13491,7.41234,3.62329,3.04687e+08,1.10397e+09,4000000000,0.275992,36.5,1
2,2,13997605000000,238529,0.13491,7.41234,0,-nan,-nan,1000000000,-nan,0,0.8
2,1,13997606000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
2,1,13997607000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
2,1,13997608000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
2,1,13997609000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
2,1,13997610000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
2,1,13997611000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
2,1,13997612000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
2,1,13997613000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,2,13997501000000,1000,0.118,8.47458,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
3,0,13997502000000,5000,0.156,6.41026,6.0423,1.09561e+08,6.62e+08,4000000000,0.1655,165.5,1
3,1,13997503000000,7000,0.129429,7.72627,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
3,2,13997504000000,8000,0.178,5.61798,1.9305,2.14659e+08,4.144e+08,1000000000,0.518,518,0.8
3,0,13997505000000,12000,0.131167,7.62389,26.6667,5.625e+06,1.5e+08,4000000000,0.0375,37.5,1
3,2,13997506000000,13000,0.128231,7.79844,10.7527,6.9192e+06,7.44e+07,1000000000,0.093,93,0.8
3,1,13997507000000,15000,0.1792,5.58036,1.95886,4.69098e+08,9.189e+08,2000000000,0.5105,510.5,0.9
3,0,13997508000000,19000,0.147684,6.7712,33.8983,3.481e+06,1.18e+08,4000000000,0.0295,29.5,1
3,2,13997509000000,20000,0.1434,6.9735,16.129,3.0752e+06,4.96e+07,1000000000,0.062,62,0.8
3,2,13997510000000,21000,0.162476,6.15475,1.83824,2.36749e+08,4.352e+08,1000000000,0.544,544,0.8
3,1,13997511000000,23000,0.15387,6.49901,15.748,7.25805e+06,1.143e+08,2000000000,0.0635,63.5,0.9
3,2,13997512000000,24000,0.157417,6.35257,4.1841,4.56968e+07,1.912e+08,1000000000,0.239,239,0.8
3,1,13997513000000,26000,0.160769,6.2201,4.97512,7.27218e+07,3.618e+08,2000000000,0.201,201,0.9
3,2,13997514000000,27000,0.159333,6.27615,8.19672,1.19072e+07,9.76e+07,1000000000,0.122,122,0.8
3,1,13997515000000,29000,0.171034,5.84677,3.03951,1.94834e+08,5.922e+08,2000000000,0.329,329,0.9
3,1,13997516000000,31000,0.164903,6.06416,13.1579,1.03968e+07,1.368e+08,2000000000,0.076,76,0.9
3,2,13997517000000,32000,0.160688,6.22326,33.3333,720000,2.4e+07,1000000000,0.03,30,0.8
3,1,13997518000000,34000,0.168588,5.93161,3.38983,1.56645e+08,5.31e+08,2000000000,0.295,295,0.9
3,0,13997519000000,38000,0.154105,6.48907,32.2581,3.844e+06,1.24e+08,4000000000,0.031,31,1
3,2,13997520000000,39000,0.160462,6.23202,2.48756,1.29283e+08,3.216e+08,1000000000,0.402,402,0.8
3,0,13997521000000,43000,0.150791,6.63171,17.6991,1.2769e+07,2.26e+08,4000000000,0.0565,56.5,1
3,2,13997522000000,44000,0.149955,6.66869,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
3,1,13997523000000,46000,0.157913,6.3326,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
3,0,13997524000000,50000,0.14832,6.74218,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
3,2,13997525000000,51000,0.150451,6.64668,3.89105,5.28392e+07,2.056e+08,1000000000,0.257,257,0.8
3,0,13997526000000,55000,0.146109,6.8442,11.0193,3.29422e+07,3.63e+08,4000000000,0.09075,90.75,1
3,2,13997527000000,56000,0.146143,6.84262,6.75676,1.75232e+07,1.184e+08,1000000000,0.148,148,0.8
3,1,13997528000000,58000,0.151517,6.59991,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
3,0,13997529000000,62000,0.144387,6.92583,24.3902,6.724e+06,1.64e+08,4000000000,0.041,41,1
3,2,13997530000000,63000,0.144429,6.92384,6.80272,1.72872e+07,1.176e+08,1000000000,0.147,147,0.8
3,0,13997531000000,67000,0.142806,7.00251,8.52878,5.49902e+07,4.69e+08,4000000000,0.11725,117.25,1
3,2,13997532000000,68000,0.142941,6.99588,6.57895,1.84832e+07,1.216e+08,1000000000,0.152,152,0.8
3,1,13997533000000,70000,0.147543,6.77769,3.28947,1.66349e+08,5.472e+08,2000000000,0.304,304,0.9
3,0,13997534000000,74000,0.14173,7.05568,25,6.4e+06,1.6e+08,4000000000,0.04,40,1
3,2,13997535000000,75000,0.140533,7.11575,19.2308,2.1632e+06,4.16e+07,1000000000,0.052,52,0.8
3,0,13997536000000,79000,0.140456,7.11968,7.19424,7.7284e+07,5.56e+08,4000000000,0.139,139,1
3,2,13997537000000,80000,0.1407,7.10732,6.25,2.048e+07,1.28e+08,1000000000,0.16,160,0.8
3,1,13997538000000,82000,0.144634,6.914,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
3,0,13997539000000,86000,0.139814,7.15236,24.3902,6.724e+06,1.64e+08,4000000000,0.041,41,1
3,2,13997540000000,87000,0.138207,7.23553,0,0,0,1000000000,0,0,0.8
3,0,13997541000000,91000,0.138945,7.19709,6.45161,9.61e+07,6.2e+08,4000000000,0.155,155,1
3,2,13997542000000,92000,0.139043,7.19199,6.75676,1.75232e+07,1.184e+08,1000000000,0.148,148,0.8
3,1,13997543000000,94000,0.142511,7.01702,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
3,0,13997544000000,98000,0.138367,7.22714,24.3902,6.724e+06,1.64e+08,4000000000,0.041,41,1
3,2,13997545000000,99000,0.13697,7.30088,0,0,0,1000000000,0,0,0.8
3,0,13997546000000,103000,0.13767,7.26375,6.45161,9.61e+07,6.2e+08,4000000000,0.155,155,1
3,2,13997547000000,104000,0.137288,7.28393,10.2041,7.6832e+06,7.84e+07,1000000000,0.098,98,0.8
3,1,13997548000000,106000,0.140868,7.09885,3.0581,1.92472e+08,5.886e+08,2000000000,0.327,327,0.9
3,0,13997549000000,110000,0.136427,7.32991,53.3333,1.40625e+06,7.5e+07,4000000000,0.01875,18.75,1
3,2,13997550000000,111000,0.136,7.35294,11.236,6.3368e+06,7.12e+07,1000000000,0.089,89,0.8
3,0,13997551000000,115000,0.136522,7.32484,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
3,2,13997552000000,116000,0.136328,7.33527,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
3,1,13997553000000,118000,0.138619,7.21404,3.68324,1.32682e+08,4.887e+08,2000000000,0.2715,271.5,0.9
3,0,13997554000000,122000,0.135033,7.40561,34.188,3.42225e+06,1.17e+08,4000000000,0.02925,29.25,1
3,2,13997555000000,123000,0.134943,7.41053,8.06452,1.23008e+07,9.92e+07,1000000000,0.124,124,0.8
3,0,13997556000000,127000,0.138709,7.20936,3.92927,2.59081e+08,1.018e+09,4000000000,0.2545,254.5,1
3,1,13997557000000,129000,0.137388,7.27868,18.6916,5.15205e+06,9.63e+07,2000000000,0.0535,53.5,0.9
3,2,13997558000000,130000,0.138454,7.22262,3.62319,6.09408e+07,2.208e+08,1000000000,0.276,276,0.8
3,0,13997559000000,134000,0.136836,7.30803,11.8694,2.83922e+07,3.37e+08,4000000000,0.08425,84.25,1
3,2,13997560000000,135000,0.136696,7.31549,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
3,0,13997561000000,139000,0.137525,7.2714,6.0423,1.09561e+08,6.62e+08,4000000000,0.1655,165.5,1
3,1,13997562000000,141000,0.136468,7.32772,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
3,2,13997563000000,142000,0.138,7.24638,2.82486,1.00253e+08,2.832e+08,1000000000,0.354,354,0.8
3,0,13997564000000,146000,0.136219,7.34111,13.6986,2.1316e+07,2.92e+08,4000000000,0.073,73,1
3,2,13997565000000,147000,0.136327,7.33533,6.57895,1.84832e+07,1.216e+08,1000000000,0.152,152,0.8
3,1,13997566000000,149000,0.13855,7.21759,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
3,0,13997567000000,153000,0.135712,7.36852,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
3,2,13997568000000,154000,0.137643,7.26518,2.30947,1.49991e+08,3.464e+08,1000000000,0.433,433,0.8
3,0,13997569000000,158000,0.13562,7.37353,17.316,1.33402e+07,2.31e+08,4000000000,0.05775,57.75,1
3,2,13997570000000,159000,0.135384,7.38642,10.2041,7.6832e+06,7.84e+07,1000000000,0.098,98,0.8
3,1,13997571000000,161000,0.137739,7.2601,3.07692,1.90125e+08,5.85e+08,2000000000,0.325,325,0.9
3,0,13997572000000,165000,0.135333,7.38916,25.974,5.929e+06,1.54e+08,4000000000,0.0385,38.5,1
3,2,13997573000000,166000,0.13738,7.27911,2.10526,1.805e+08,3.8e+08,1000000000,0.475,475,0.8
3,0,13997574000000,170000,0.134965,7.40934,28.777,4.83025e+06,1.39e+08,4000000000,0.03475,34.75,1
3,2,13997575000000,171000,0.134865,7.41479,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
3,1,13997576000000,173000,0.137064,7.29588,3.07692,1.90125e+08,5.85e+08,2000000000,0.325,325,0.9
3,0,13997577000000,177000,0.13478,7.41952,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
3,2,13997578000000,178000,0.136663,7.31727,2.12766,1.7672e+08,3.76e+08,1000000000,0.47,470,0.8
3,0,13997579000000,182000,0.134549,7.43221,24.6914,6.561e+06,1.62e+08,4000000000,0.0405,40.5,1
3,2,13997580000000,183000,0.134459,7.43721,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
3,1,13997581000000,185000,0.136562,7.32267,3.03951,1.94834e+08,5.922e+08,2000000000,0.329,329,0.9
3,0,13997582000000,189000,0.134413,7.43977,28.5714,4.9e+06,1.4e+08,4000000000,0.035,35,1
3,2,13997583000000,190000,0.136137,7.34555,2.1645,1.70755e+08,3.696e+08,1000000000,0.462,462,0.8
3,0,13997584000000,194000,0.134124,7.4558,25.974,5.929e+06,1.54e+08,4000000000,0.0385,38.5,1
3,2,13997585000000,195000,0.134021,7.46154,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
3,1,13997586000000,197000,0.136041,7.35075,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
3,0,13997587000000,201000,0.13409,7.4577,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
3,2,13997588000000,202000,0.135743,7.36689,2.13675,1.75219e+08,3.744e+08,1000000000,0.468,468,0.8
3,0,13997589000000,206000,0.133767,7.47569,29.4118,4.624e+06,1.36e+08,4000000000,0.034,34,1
3,2,13997590000000,207000,0.133671,7.48103,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
3,1,13997591000000,209000,0.135579,7.37578,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
3,0,13997592000000,213000,0.133746,7.47683,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
3,2,13997593000000,214000,0.135332,7.38925,2.11416,1.78983e+08,3.784e+08,1000000000,0.473,473,0.8
3,0,13997594000000,218000,0.13345,7.49347,30.5344,4.29025e+06,1.31e+08,4000000000,0.03275,32.75,1
3,2,13997595000000,219000,0.133361,7.49846,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
3,1,13997596000000,221000,0.135167,7.39823,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
3,0,13997597000000,225000,0.13344,7.494,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
3,2,13997598000000,226000,0.134942,7.41056,2.11416,1.78983e+08,3.784e+08,1000000000,0.473,473,0.8
3,0,13997599000000,230000,0.133165,7.50947,30.5344,4.29025e+06,1.31e+08,4000000000,0.03275,32.75,1
3,2,13997600000000,231000,0.133082,7.51415,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
3,1,13997601000000,233000,0.134798,7.41849,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
3,0,13997602000000,237000,0.133165,7.50951,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
3,2,13997603000000,238000,0.134597,7.42961,2.1097,1.79741e+08,3.792e+08,1000000000,0.474,474,0.8
3,0,13997604000000,238529,0.13491,7.41234,3.62329,3.04687e+08,1.10397e+09,4000000000,0.275992,36.5,1
3,2,13997605000000,238529,0.13491,7.41234,0,-nan,-nan,1000000000,-nan,0,0.8
3,1,13997606000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,1,13997607000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,1,13997608000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,1,13997609000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,1,13997610000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,1,13997611000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,1,13997612000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
3,1,13997613000000,238529,0.13491,7.41234,0,-nan,-nan,2000000000,-nan,0,0.9
4,2,13997501000000,1000,0.359,2.78552,2.78552,1.03105e+08,2.872e+08,1000000000,0.359,359,0.8
4,0,13997502000000,5000,0.1216,8.22368,16.0643,1.55002e+07,2.49e+08,4000000000,0.06225,62.25,1
4,1,13997503000000,7000,0.105714,9.45946,15.1515,7.8408e+06,1.188e+08,2000000000,0.066,66,0.9
4,2,13997504000000,8000,0.1715,5.8309,1.58228,3.19539e+08,5.056e+08,1000000000,0.632,632,0.8
4,0,13997505000000,12000,0.128,7.8125,24.3902,6.724e+06,1.64e+08,4000000000,0.041,41,1
4,2,13997506000000,13000,0.134077,7.45841,4.83092,3.42792e+07,1.656e+08,1000000000,0.207,207,0.8
4,1,13997507000000,15000,0.143467,6.97026,4.88998,7.52764e+07,3.681e+08,2000000000,0.2045,204.5,0.9
4,0,13997508000000,19000,0.117421,8.51636,50.6329,1.56025e+06,7.9e+07,4000000000,0.01975,19.75,1
4,2,13997509000000,20000,0.1146,8.726,16.3934,2.9768e+06,4.88e+07,1000000000,0.061,61,0.8
4,2,13997510000000,21000,0.109857,9.10273,66.6667,180000,1.2e+07,1000000000,0.015,15,0.8
4,1,13997511000000,23000,0.108348,9.22953,10.8108,1.54012e+07,1.665e+08,2000000000,0.0925,92.5,0.9
4,2,13997512000000,24000,0.108833,9.18836,8.33333,1.152e+07,9.6e+07,1000000000,0.12,120,0.8
4,1,13997513000000,26000,0.100923,9.90854,166.667,64800,1.08e+07,2000000000,0.006,6,0.9
4,2,13997514000000,27000,0.10337,9.67395,5.98802,2.23112e+07,1.336e+08,1000000000,0.167,167,0.8
4,1,13997515000000,29000,0.116276,8.60024,3.44234,1.51902e+08,5.229e+08,2000000000,0.2905,290.5,0.9
4,1,13997516000000,31000,0.113581,8.80432,13.4228,9.99045e+06,1.341e+08,2000000000,0.0745,74.5,0.9
4,2,13997517000000,32000,0.111375,8.97868,23.2558,1.4792e+06,3.44e+07,1000000000,0.043,43,0.8
4,1,13997518000000,34000,0.123147,8.12037,3.21027,1.74658e+08,5.607e+08,2000000000,0.3115,311.5,0.9
4,0,13997519000000,38000,0.113053,8.84544,36.6972,2.97025e+06,1.09e+08,4000000000,0.02725,27.25,1
4,2,13997520000000,39000,0.124077,8.05952,1.84162,2.35879e+08,4.344e+08,1000000000,0.543,543,0.8
4,0,13997521000000,43000,0.116372,8.59313,24.2424,6.80625e+06,1.65e+08,4000000000,0.04125,41.25,1
4,2,13997522000000,44000,0.11525,8.67679,14.9254,3.5912e+06,5.36e+07,1000000000,0.067,67,0.8
4,1,13997523000000,46000,0.124174,8.05322,3.12012,1.84896e+08,5.769e+08,2000000000,0.3205,320.5,0.9
4,0,13997524000000,50000,0.11664,8.57339,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
4,2,13997525000000,51000,0.124745,8.01635,1.88679,2.2472e+08,4.24e+08,1000000000,0.53,530,0.8
4,0,13997526000000,55000,0.119036,8.40079,21.6216,8.55625e+06,1.85e+08,4000000000,0.04625,46.25,1
